[2016-11-02 18:57:15] ShadowsocksR started on port 1080
[2016-11-02 18:57:29] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:30] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:31] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:34] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:36] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:38] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:38] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:38] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:38] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:39] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:40] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:40] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:40] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:40] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:40] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:41] [Error]connect to update server error
[2016-11-02 18:57:41] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:41] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:42] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:42] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:42] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:43] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:43] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:44] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:45] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
[2016-11-02 18:57:45] [Warn]Proxy server [5.莫斯科1-适合下载 流量比例:0.5(ss1.222ss.us)] connection refused
